airport,location
Magan Airport,Sichuan
Gisenyi Airport,Ningxia
Argyle Airport,Palestine
General José María Yáñez International Airport,Sichuan
Santa Genoveva Airport,Afghanistan
Gympie Airport,Western Province
Phoenix Goodyear Airport,Turkey
Turbat International Airport,Oklahoma
Tulsa International Airport,New South Wales
Tumut Airport,Tunisia
Tunis–Carthage International Airport,New Zealand
Taupo Airport,Mississippi
Tupelo Regional Airport,Burkina Faso
Tougan Airport,Pará
Tucuruí Airport,Arizona
Tucson International Airport,Papua New Guinea
Tauta Airport,Saudi Arabia
Tabuk Regional Airport,Venezuela
San Rafael Airport,Panama
"Stord Airport, Sørstokken",Norway
Sarasota–Bradenton International Airport,Bradenton
Dunwich Airport,Queensland
San Marcos Airport,Colombia
Soroti Airport,Uganda
Stony River Airport,Alaska
Rowan County Airport,North Carolina
Gardabya Airport,Libya
Dasht-e Naz Airport,Iran
El Trompillo Airport,Bolivia
Deputado Luís Eduardo Magalhães International Airport,Bahia
Christiansted Harbor Seaplane Base,United States Virgin Islands
Shaw Air Force Base,South Carolina
San Felipe Airport,Colombia
Alakanuk Airport,California
Aur Airport,Alabama
Austin Municipal Airport,Papua New Guinea
Auburn Municipal Airport,Marquesas Islands
Auburn University Regional Airport,Auvergne
Agaun Airport,Texas
Atuona Airport,East Timor
Aurillac – Tronquières Airport,Queensland
Austin–Bergstrom International Airport,Papua New Guinea
Atauro Airport,Wisconsin
Aurukun Airport,Tocantins
Aumo Airport,Tafea
Cushing Municipal Airport,Sinaloa
Curillo Airport,Venezuela
Culion Airport,Quintana Roo
Caye Caulker Airport,Colombia
Bachigualato Federal International Airport,Venezuela
Antonio José de Sucre Airport,Queensland
Cancún International Airport,Curaçao
Caruru Airport,New Mexico
General José Francisco Bermúdez Airport,Neuquén
Coen Airport,Chihuahua
Aktion National Airport,Jalisco
Pike County Airport,Chukotka
Reales Tamarindos Airport,Utah
Licenciado Gustavo Díaz Ordaz International Airport,Texas
Provideniya Bay Airport,Oklahoma
Provo Municipal Airport,Montana
Hale County Airport,Chukotka
Wiley Post Airport,Ethiopia
Sher-Wood Airport,Illinois
Pevek Airport,Indonesia
Beles Airport,Maine
Chicago Executive Airport,Crooked Island
Wirasaba Airport,Democratic Republic of the Congo
Portland International Jetport,Kazakhstan
Pitts Town Airport,Alaska
Pweto Airport,Washington
Slave Lake Airport,Alberta
Sandspit Airport,British Columbia
Sarnia Chris Hadfield Airport,Ontario
Coral Harbour Airport,Nunavut
Port Hardy Airport,British Columbia
Whitecourt Airport,Alberta
Sept-Îles Airport,Quebec
Teslin Airport,Yukon
CFB Greenwood,Nova Scotia
Zhangye Ganzhou Airport,Gansu
Trail Airport,British Columbia
Miquelon Airport,Chelyabinsk Oblast
Maquinchao Airport,Namibia
Marqua Airport,Goiás
Bardera Airport,Sri Lanka
Bertoua Airport,Northern Territory
Bétou Airport,Sierra Leone
Batticaloa Airport,Utah
Brunette Downs Airport,Central African Republic
Sherbro International Airport,Indonesia
Skypark Airport,Alaska
Batangafo Airport,Indonesia
Hang Nadim Airport,Irkutsk Oblast
Barter Island LRRS Airport,Michigan
Sultan Iskandar Muda International Airport,Montana
Bratsk Airport,South Carolina
W. K. Kellogg Airport,Suriname
Bert Mooney Airport,Pennsylvania
Marlboro County Jetport,Rwanda
Livermore Municipal Airport,Virginia
Lawrenceville/Brunswick Municipal Airport,Montana
Mission Field,Western Australia
Laverton Airport,Iran
Lavan Airport,Mato Grosso
Bom Futuro Municipal Airport,New Mexico
Las Vegas Municipal Airport,Philippines
Lebak Airport,West Virginia
Greenbrier Valley Airport,Kansas
Lawrence Municipal Airport,Indonesia
Wonopito Airport,Queensland
Lawn Hill Airport,Papua New Guinea
Lowai Airport,Scotland
Tingwall Airport,Nevada
Wells Municipal Airport,Massachusetts
Karawari Airport,Papua New Guinea
John Paul II International Airport Kraków–Balice,Papua New Guinea
Korla Airport,Poland
Karanambo Airport,Xinjiang
Kiruna Airport,Guyana
Kurgan Airport,Sweden
Karup Airport,Kurgan Oblast
Kramatorsk Airport,Denmark
Krasnodar International Airport,Ukraine
"Kristiansand Airport, Kjevik",Krasnodar Krai
Khartoum International Airport,Norway
Kerau Airport,Sudan
Kimwarer Airport,Papua New Guinea
Turkmenbashi International Airport,Kenya
Karkar Airport,Turkmenistan
Guangyuan Panlong Airport,Turkey
Guyuan Liupanshan Airport,Iran
Tubala Airport,British Columbia
Tumbler Ridge Airport,Quintana Roo
Tulum Airport,Pará
Tucumã Airport,Madagascar
Morafenobe Airport,Michigan
Cherry Capital Airport,Minnesota
Thief River Falls Regional Airport,Georgia
Thomasville Regional Airport,California
Lake Tahoe Airport,Hebei
Tangshan Sannühe Airport,Fiji
Matei Airport,Myanmar
Dawei Airport,Alaska
Twin Hills Airport,Queensland
Toowoomba City Aerodrome,Xinjiang
Tumxuk Tangwangcheng Airport,Washington
Solapur Airport,Maharashtra
Stinson Municipal Airport,Texas
Malabo International Airport,Equatorial Guinea
Sharm el-Sheikh International Airport,Egypt
Malcolm McKinnon Airport,Georgia
"Sandnessjøen Airport, Stokka",Norway
Sturt Creek Airport,Western Australia
Santa Rosalía Airport,Colombia
Seoul Air Base,South Korea
São Lourenço Airport,Minas Gerais
Silver Plains Airport,Queensland
La Sarre Airport,Quebec
Sara Airport,Vanuatu
Siassi Airport,Papua New Guinea
Santa Teresita Airport,Buenos Aires
Wausau Downtown Airport,Illinois
Araguaína Airport,Guizhou
Anatom Airport,Pordenone
Aurora Municipal Airport,Northern Territory
Anshun Huangguoshu Airport,Cuba
Aviano Air Base,Mongolia
Auvergne Airport,North Carolina
Máximo Gómez Airport,Provence-Alpes-Côte d'Azur
Arvaikheer Airport,Florida
Asheville Regional Airport,Scranton
Avignon – Provence Airport,Guadalcanal
Avon Park Executive Airport,Victoria
Wilkes-Barre/Scranton International Airport,Arizona
Avu Avu Airport,California
Avalon Airport,Ethiopia
Curaçao International Airport,Venezuela
Columbus Municipal Airport,Texas
Cutral Có Airport,Western Australia
General Roberto Fierro Villalobos International Airport,Peru
Casigua El Cubo Airport,Papua New Guinea
Cuddihy Field,South Australia
Cue Airport,Colombia
Alejandro Velasco Astete International Airport,Rhône-Alpes
Chungrebu Airport,Cincinnati/OH
Cleve Airport,Neuquén
Coveñas Airport,Santa Cruz
Courchevel Altiport,Morelos
Cincinnati/Northern Kentucky International Airport,Papua New Guinea
Caviahue Airport,Tamaulipas
Pavlodar Airport,Wyoming
Port Walter Seaplane Base,South Sumatra
Bremerton National Airport,South Australia
Ralph Wenz Field,Arizona
Atung Bungsu Airport,Oaxaca
Prominent Hill Airport,Madeira
Polacca Airport,Thailand
Puerto Escondido International Airport,Vietnam
Porto Santo Airport,Colombia
Surin Airport,Odisha
Pleiku Airport,Panama
Velasquez Airport,Cook Islands
Jeypore Airport,Sikkim
Playón Chico Airport,Venezuela
Tongareva Airport,Yakutia
Magnitogorsk International Airport,Yakutia
Midgard Airport,Bolivia
Minaçu Airport,Victoria
Moma Airport,Turkey
San Matías Airport,Norway
Mildura Airport,Papua New Guinea
Mardin Airport,South Africa
"Mo i Rana Airport, Røssvoll",Chad
Malam Airport,Colombia
Kruger Mpumalanga International Airport,Saint Vincent and the Grenadines
Moundou Airport,Michigan
Mosquera Airport,Colombia
Mustique Airport,Algeria
Sawyer International Airport,Georgia
Mariquita Airport,Ethiopia
Mostaganem Airport,Tennessee
Botopasi Airstrip,Louisiana
Butler County Airport,Slovakia
Butare Airport,Alaska
Baton Rouge Metropolitan Airport,Sarawak
M. R. Štefánik Airport,Vermont
Bettles Airport,Indonesia
Bintulu Airport,Queensland
Burlington International Airport,Nevada
Batu Licin Airport,Papua New Guinea
Betoota Airport,Nebraska
Beatty Airport,Queensland
Buka Island Airport,Hungary
Cram Field,New York
Burketown Airport,Angola
Budapest Ferenc Liszt International Airport,Romania
Lawrence Municipal Airport,Armenia
Shirak Airport,Ukraine
Lviv Danylo Halytskyi International Airport,Netherlands
Leeuwarden Air Base,Idaho
Lewiston–Nez Perce County Airport,Montana
Lewistown Municipal Airport,Illinois
Lawrenceville–Vincennes International Airport,Sarawak
Lawas Airport,Tibet
Lhasa Gonggar Airport,Laos
Louang Namtha Airport,Nebraska
Jim Kelly Field,Egypt
Luxor International Airport,Greece
Lemnos International Airport,Zambia
Lukulu Airport,Colorado
Lake County Airport,Henan
Karamay Airport,Papua New Guinea
Basango Mboliasa Airport,Xinjiang
Kosrae International Airport,Democratic Republic of the Congo
Kasanombe Airport,Federated States of Micronesia
Košice International Airport,Papua New Guinea
Karlstad Airport,Slovakia
Kasese Airport,Sweden
Kassel Airport,Uganda
Kisengam Airport,Hesse
Shahid Ashrafi Esfahani Airport,Papua New Guinea
Kissidougou Airport,Iran
Kasos Island Public Airport,Guinea
Karlskoga Airport,Greece
Kassala Airport,Sweden
St. Mary's Airport,Sudan
Jefferson County International Airport,Alaska
Taylor Airport,Idaho
Magic Valley Regional Airport,Queensland
Tewantin Airport,Queensland
Torwood Airport,Philippines
Sanga-Sanga Airport,Sabah
Tawau Airport,Papua New Guinea
Tawa Airport,New Zealand
Pukaki Airport,Sumatra
Rembele Airport,Bahia
Teixeira de Freitas Airport,Arkansas
Texarkana Regional Airport,Indonesia
Berlin Tegel Airport,Anhui
Teminabuan Airport,Queensland
Huangshan Tunxi International Airport,Ivory Coast
Siasi Airport,Philippines
Stuart Island Airpark,Washington
Marana Regional Airport,Papua New Guinea
Catalina Airport,Tafea
Awasa Airport,Gabon
Awaba Airport,United States Minor Outlying Islands
Aniwa Airport,Arkansas
Alowe Airport,South Australia
Wake Island Airfield,Northern Territory
West Memphis Municipal Airport,Papua New Guinea
Alton Downs Airport,Iran
Austral Downs Airport,British Overseas Territory
Awar Airport,New York
Ahvaz International Airport,Queensland
Clayton J. Lloyd International Airport,Greece
Maxson Airfield,Santa Catarina
Aramac Airport,Inner Mongolia
Alexandroupoli Airport,Iowa
Caleta Olivia Airport,New Mexico
General Mariano Matamoros Airport,Oregon
Cape Vogel Airport,Western Australia
General Pedro J. Méndez International Airport,New Mexico
Clovis Municipal Airport,England
Corvallis Municipal Airport,Azores
Carnarvon Airport,Wisconsin
Cannon Air Force Base,Paraná
Coventry Airport,Ukraine
Corvo Airport,Louisiana
Central Wisconsin Airport,Iowa
Afonso Pena International Airport,China
Chernivtsi International Airport,Wales
Chennault International Airport,South Australia
Clinton Municipal Airport,Washington
Cangyuan Washan Airport,New South Wales
Pakyong Airport,Iran
Cacique Aramare Airport,Alaska
Polyarny Airport,Massachusetts
Payam International Airport,Colombia
Perry Island Seaplane Base,Ecuador
Plymouth Municipal Airport,Greece
Payán Airport,California
Putumayo Airport,Panama
Andravida Air Base,Thailand
Paradise Skypark,Colombia
Yaviza Airport,South Africa
Pai Airport,Pakistan
Paz de Ariporo Airport,Sichuan
Pietermaritzburg Airport,Cook Islands
Zhob Airport,South Africa
Panzhihua Bao'anying Airport,Puerto Ordaz
Telfair–Wheeler Airport,Western Australia
Alula Aba Nega Airport,Libya
Smyrna Airport,West Virginia
Margaret River Airport,Mount Pleasant
Misrata Airport,Venezuela
Eastern WV Regional Airport,Kenya
Maury County Airport,Texas
Alberto Carnevalli Airport,Queensland
Mara Serena Airport,Papua New Guinea
Marfa Municipal Airport,Alaska
Mareeba Airfield,Honduras
May River Airport,Florida
Merrill Field,Queensland
Marcala Airport,Papua New Guinea
Marco Island Airport,North Carolina
Buffalo Niagara International Airport,Indonesia
Benguela Airport,Algeria
Bokondini Airport,Yemen
Bou Saada Airport,Papua New Guinea
Albuq Airport,Missouri
Bulolo Airport,Colombia
Butler Memorial Airport,Somalia
Gerardo Tobar López Airport,Punjab
Burao Airport,Zimbabwe
Bathinda Airport,California
Joshua Mqabuko Nkomo International Airport,Georgia
Bob Hope Airport,Bhutan
Batumi International Airport,Jambi
Bathpalathang Airport,Uruguay
Luoyang Beijiao Airport,British Overseas Territory
Edward Bodden Airfield,Sweden
Lycksele Airport,England
RAF Lyneham,Jiangsu
Lianyungang Baitabu Airport,Virginia
Lynchburg Regional Airport,Shandong
Linyi Shubuling Airport,Indonesia
Lunyuk Airport,Rhône-Alpes
Lyon–Bron Airport,Kansas
Kostanay Airport,Alaska
Kastoria National Airport,Kazakhstan
Kosipe Airport,Greece
Karshi Airport,Papua New Guinea
H. Aroeppala Airport,Uzbekistan
Sikasso Airport,Sulawesi
Rabak Airport,Mali
"Kristiansund Airport, Kvernberget",Sudan
Springvale Airport,Norway
Kiryat Shmona Airport,Queensland
Yasuru Airport,Israel
Tanbar Airport,Tula Oblast
Tabou Airport,New South Wales
Klokovo Airport,Amur Oblast
Tibooburra Airport,Alaska
Tynda Airport,Sweden
Tyonek Airport,Queensland
Torsby Airport,Peru
Thylungra Airport,Exuma Islands
Capitán FAP Víctor Montes Arias International Airport,Shanxi
Staniel Cay Airport,Honshu
Taiyuan Wusu International Airport,Northern Territory
Tobermorey Airport,Texas
Tyler Pounds Regional Airport,Tennessee
Mbanza Congo Airport,Angola
Santos Air Force Base,São Paulo
Stauning Vestjylland Airport,Denmark
Miguel Urdaneta Fernández Airport,Venezuela
St. Cloud Regional Airport,Minnesota
Mayor Buenaventura Vivas Airport,Venezuela
Stevens Point Municipal Airport,Wisconsin
Stephens Island Airport,Queensland
St. George Airport,Alaska
Strathmore Airport,Queensland
Cibao International Airport,Dominican Republic
Rosecrans Memorial Airport,Missouri
Sterling Municipal Airport,Colorado
Lambert–St. Louis International Airport,Missouri
Xanxere Airport,Amakusa Islands
Alxa Left Banner Bayanhot Airport,Yemen
Algona Municipal Airport,Northern Territory
Amakusa Airfield,Colombia
Ataq Airport,Minnesota
Alexandria Airport,Acklins Island
El Edén International Airport,Tuamotus
Alexandria Municipal Airport,Oklahoma
Spring Point Airport,Honshu
Arutua Airport,Ethiopia
Altus/Quartz Mountain Regional Airport,Ohio
Akita Airport,New Mexico
Axum Airport,Colombia
Neil Armstrong Airport,Colombia
Cardiff Airport,New South Wales
Cowarie Airport,Arizona
Center Island Airport,Venezuela
Cowra Airport,Bangladesh
Corowa Airport,Alaska
Cochise County Airport,Alaska
Caicara del Orinoco Airport,British Columbia
Cox's Bazar Airport,Kiribati
Chitina Airport,Rio Grande do Sul
Coldfoot Airport,California
Vancouver Harbour Flight Centre,Somalia
Cassidy International Airport,Texas
Pukapuka Island Airfield,Chile
Zulu Inyala Airport,Sudan
Manuel Carlos Piar Guayana Airport,Slovakia
Miners Lake Airport,New Zealand
Manari Airport,South Australia
Foothills Regional Airport,Philippines
Hood Aerodrome,Ecuador
Marla Airport,Provence-Alpes-Côte d'Azur
Marinduque Airport,Northern Territory
José María Velasco Ibarra Airport,Mauritius
Marseille Provence Airport,Stavropol Krai
Moroak Airport,Denmark
Sir Seewoosagur Ramgoolam International Airport,Iran
Mineralnye Vody Airport,California
Muara Bungo Airport,Indonesia
Placeres Airport,Democratic Republic of the Congo
Betoambari Airport,Western Australia
Bunia Airport,Iran
Bunbury Airport,Picardy
Bushehr Airport,Roraima
Beauvais–Tillé Airport,Cape Verde
Boa Vista International Airport,Limousin
Aristides Pereira International Airport,Fiji
Brive–Souillac Airport,Norway
Dama Airport,Rondônia
Berlevåg Airport,Queensland
Lyons–Rice County Municipal Airport,Pakistan
Faisalabad International Airport,Svalbard
"Svalbard Airport, Longyear",Rhône-Alpes
Lyon–Saint-Exupéry Airport,Queensland
Lady Elliot Island Airport,Minnesota
Ely Municipal Airport,England
Lydd Airport,Democratic Republic of the Congo
Luiza Airport,Michoacán
Lázaro Cárdenas Airport,Guangxi
Liuzhou Bailian Airport,Democratic Republic of the Congo
Kars Harakani Airport,Papua New Guinea
Kotlas Airport,Turkey
Karratha Airport,Arkhangelsk Oblast
Thorne Bay Seaplane Base,Western Australia
Katiola Airport,Alaska
Kitadaito Airport,Ivory Coast
Kerteh Airport,Daitō Islands
Takaka Aerodrome,Terengganu
Rahadi Osman Airport,New Zealand
Tikchik Lodge Seaplane Base,Indonesia
Kratié Airport,Alaska
Kichwa Tembo Airport,Cambodia
Kunua Airport,Kenya
McGhee Tyson Airport,Uruguay
Santarém-Maestro Wilson Fonseca Airport,Pará
London Stansted Airport,England
St. Paul Downtown Airport,Sweden
St. Marys Municipal Airport,Minneapolis
Stuttgart Airport,Pennsylvania
